Away Team,Home Team,Home Spread,Home Score,Visitor Score,Total Result,Binary Total Result ,Projected Total
CAR,TB,-2.5,27,10,U,0,58.5
SEA,SF,-2.5,20,26,U,0,57.5
ARI,LAR,-6.5,27,20,U,0,56.5
TEN,HOU,-2.5,17,33,U,0,55.5
JAC,IND,-4,19,32,U,0,55.5
MIN,GB,-5,40,16,U,0,57
DET,CHI,-8.5,26,37,O,1,53.5
PIT,BAL,-4.5,38,27,O,1,57.5
CIN,CLE,-8,26,31,O,1,54.5
WAS,NYG,2.5,26,30,O,1,55
BAL,PHI,4,27,29,U,0,56.5
BUF,NE,-6.5,26,34,O,1,55.5
MIA,NYJ,-4.5,17,30,U,0,56.5
TB,NO,-7.5,16,38,U,0,58.5
CAR,ATL,-1,17,38,U,0,56.5
OAK,KC,-10.5,44,47,O,1,60.5
LAC,DEN,2.5,55,24,O,1,57
IND,HOU,-3,36,30,O,1,55
JAC,TEN,-4.5,30,27,O,1,53.5
LAR,SF,-6.5,6,35,U,0,55.5
ARI,SEA,-10,27,30,O,1,55
CHI,GB,-7.5,34,28,O,1,56.5
DET,MIN,-9.5,12,22,U,0,57.5
CLE,BAL,-8.5,24,30,U,0,59.5
CIN,PIT,-10,14,52,O,1,55
NYJ,NE,-9.6,12,27,U,0,57.5
MIA,BUF,-6.5,6,35,U,0,55.5
WAS,DAL,-13,41,36,O,1,56.5
NYG,PHI,-8.5,28,35,O,1,55.5
CAR,NO,-8.5,27,34,O,1,60.5
TB,ATL,-2.5,24,16,U,0,58.5
LAC,KC,-7.5,36,30,O,1,63.5
OAK,DEN,0,30,33,O,1,55.5
JAC,HOU,-7,30,40,O,1,55
IND,TEN,-3,19,24,U,0,55
LAR,SEA,-4.5,31,36,O,1,55
ARI,SF,-13,30,31,O,1,51.5
CHI,MIN,-3.5,27,29,O,1,54.5
DET,GB,-13.5,34,37,O,1,55.5
CLE,PIT,-5,34,37,O,1,56.5
NYG,DAL,-12,27,47,O,1,55
WAS,PHI,-7,13,34,U,0,51.5
CIN,BAL,-13.5,19,37,O,1,51.5
NYJ,BUF,-7,38,17,O,1,53.5
MIA,NE,-13,37,41,O,1,54.5
KC,ATL,6,26,20,U,0,61.5
CHI,BAL,-6,34,19,U,0,57
DAL,HOU,4.5,29,11,U,0,57
NE,NYG,10,38,27,O,1,55
ARI,OAK,0,23,3,U,0,54.5
NO,KC,0,40,32,O,1,64.5
BUF,DAL,-6.5,31,34,O,1,54.5
CHI,CIN,10,23,14,U,0,50.5
KC,BAL,0,28,45,O,1,63.5
SEA,PIT,3,45,21,O,1,55
PHI,DET,6,32,34,O,1,54.5
CLE,BUF,0,32,18,U,0,54.5
NO,DEN,11.5,45,34,O,1,57
SF,CAR,6,27,46,O,1,54.5
SEA,CHI,3,26,17,U,0,55
CLE,ARI,7,19,31,U,0,55
PIT,LAC,0,37,31,O,1,51.5
NO,NE,2.5,37,30,O,1,57.5
LAR,OAK,7,34,37,O,1,55.5
SF,NE,-1.5,45,22,O,1,55
MIN,NYJ,4.5,25,20,U,0,55
TB,MIA,7,38,34,O,1,50.5
IND,WAS,6,26,28,O,1,53.5
DAL,SEA,2.5,38,10,U,0,58.5
BAL,ATL,4.5,18,13,U,0,60.5
LAC,PHI,-3.5,19,29,U,0,55
DET,PIT,-7,16,33,U,0,51.5
TEN,CLE,-1,24,26,U,0,54.5
LAC,ARI,6.5,37,31,O,1,54.5
DAL,NO,-2.5,41,24,O,1,61.5
NYG,BUF,-4.5,48,11,O,1,50.5
TB,IND,-3,30,25,O,1,49.5
DAL,LAC,4.5,37,6,U,0,57.5
PHI,PIT,3,34,40,O,1,50.5
HOU,MIN,2.5,24,37,O,1,54.5
MIA,NYJ,-3,30,49,O,1,50.5
NYJ,DEN,0,54,22,O,1,50.5
TEN,GB,-6.5,16,37,U,0,55
SF,IND,7,30,13,U,0,55
CAR,BUF,3.5,49,51,O,1,51.5
SEA,ARI,9.5,13,10,U,0,55
NE,CHI,4,36,9,U,0,51.5
BUF,BAL,-7.5,17,20,U,0,55
PIT,WAS,10,13,19,U,0,50
NE,ATL,3.5,34,17,U,0,60.5
GB,BAL,-2.5,34,26,U,0,61.5
LAR,HOU,0,36,23,O,1,54.5
TB,ARI,6.5,22,15,U,0,50
KC,NE,3,47,16,O,1,61.5
CAR,NO,-7.5,44,31,O,1,59.5
GB,IND,7.5,24,29,U,0,57.5
CHI,TB,4.5,39,17,O,1,47
DEN v ATL,,-6.5,17,31,U,0,53.5
KC,DAL,-1.5,27,20,U,0,61.5
GB,NE,-2.5,41,20,O,1,57.5
PHI,BUF,3,51,6,O,1,50.5
CLE,TB,0,33,28,O,1,57
MIN,WAS,10,44,20,O,1,51.5
OAK,ARI,1.5,29,22,U,0,56
GB,CLE,3.5,26,16,U,0,57.5
PIT,CIN,8.5,40,10,P,2,50
DET,MIA,5,39,36,O,1,48.5
PIT,DEN,6.5,13,41,O,1,49.5
BUF,SF,-8.5,26,27,O,1,47.5
IND,HOU,-5,27,23,U,0,53.5
SEA,NYG,8.5,39,13,U,0,55.5
BAL,MIA,14,48,10,O,1,54.5
NE,NYJ,10,31,10,U,0,54.5
CAR,WAS,9.5,28,34,O,1,53.5
LAC,KC,-7.5,47,24,O,1,58.5
PHI,NO,-7,27,24,U,0,60.5
TEN,BUF,3,26,6,U,0,54.5
CIN,WAS,-3,15,31,U,0,48.5
BAL,DEN,10,30,37,O,1,56.5
NE,IND,3.5,34,23,P,2,57
MIN,CHI,-4.5,27,23,U,0,52.5
CAR,TB,3,38,43,O,1,52.5
BUF,HOU,-5.5,41,31,O,1,51.5
LAC,IND,--,26,16,U,0,57.5
TEN,BAL,-3.5,11,29,U,0,58.5
GB,SF,-2.5,30,27,O,1,55.5
DAL,WAS,11,20,8,U,0,56.5
JAC,PIT,-7.5,16,24,U,0,47.5
SEA,MIN,4.5,27,30,U,0,58.5
BAL,CLE,6.5,43,17,U,0,61.5
DAL,NYJ,11,30,10,U,0,57.5
NYG,DET,3.5,14,44,O,1,52.5
DEN,TB,-5,34,40,O,1,47.5
SF,LAR,--,27,13,U,0,55.5
NO,IND,6.5,49,28,O,1,57.5
PIT,CIN,7,38,10,U,0,49.5
JAC,NYJ,1.5,13,34,U,0,49.5
SF,OAK,7.5,47,35,O,1,55.5
NO,ATL,4,19,23,U,0,65.5
GB,DET,5,38,17,U,0,57.5
NE,TB,7.5,23,40,O,1,51.5
NE,LAR,1.5,27,31,O,1,57.5
BAL,SF,2.5,1041,,U,0,57.5
NYG,GB,-7.5,26,34,O,1,54.5
PIT,ARI,5,27,19,U,0,51.5
SEA,DEN,7,37,12,U,0,54.5
HOU,KC,-3,41,38,O,1,60
JAC,TEN,-7,30,27,O,1,51.5
WAS,CHI,-5,763,,O,1,49
TEN,LAR,1.5,14,40,U,0,56.5
NE,PIT,5.5,41,41,O,1,52.5
PHI,MIN,-4.5,37,40,O,1,60.5
NYJ,NYG,-3.5,20,12,U,0,54.5
AFC,NFC,-3,23,33,U,0,61.5
SF,KC,-3.5,54,36,O,1,60.5
ATL,PHI,2.5,24,19,U,0,58.5
BUF,MIA,7.5,1030,,U,0,51.5
TB,JAC,-2,33,27,O,1,50.5
BAL,NO,2.5,25,28,U,0,55.5
NE,PHI,3.5,22,20,U,0,55.5
DAL,ARZ,-6,13,25,U,0,60.5
BUF,NYG,4.5,15,10,U,0,55.5
CLE,CIN,-9.5,19,16,U,0,60.5
LAR,ARZ,6,37,31,O,1,55.5
WAS,PHI,-3.5,20,26,U,0,51.5
LAC,NE,-6,33,32,O,1,58.5
KC,SEA,2.5,40,33,O,1,61.5
NE-NYG,,7.5,40,7,U,0,60
TB-OAK,,2,27,45,O,1,57.5
GB-ATL,,2.5,33,30,O,1,62.5
SEA-LAR,,2.5,43,36,O,1,59.5
ATL-CAR,,-1.5,17,27,U,0,60.5
DAL-PIT,,4,20,16,U,0,60.5
NE-BUF,,5.5,38,16,U,0,55.5
KC-LAC,,6,59,30,O,1,61.5
IND-JAX,,4.5,27,20,U,0,55.5
CLE-PIT,,2.5,14,52,O,1,57.5
NE-DAL,,-3,40,37,O,1,57.5
KC-OAK,,11.5,51,22,O,1,57.5
SF,TB,7,26,20,U,0,51.5
NE,HOU,3.5,17,38,U,0,56.5
DET,CHI,-4.5,17,22,U,0,50.5
SEA,PHI,3,52,31,O,1,56.5
NYG-ARI,,4.5,23,20,U,0,56.5
ATL,TB,1.5,24,14,U,0,55.5
HOU,IND,-1.5,32,31,O,1,55.5
NO,MIN,-1.5,45,24,O,1,55.5
SEA,GB,2.5,37,27,O,1,56.5
BAL,PIT,4.5,17,34,U,0,56.5
HOU,TEN,1.5,24,30,U,0,54.5
DEN,CAR,-6.5,634,,U,0,51.5
GB,DAL,-2.5,29,49,O,1,57
BAL,KC,2.5,39,26,O,1,61.5
SF,SEA,1.5,1217,,U,0,54.5
CIN,CLE,-7.5,13,48,O,1,53.5
GB,CHI,3.5,37,18,O,1,53.5
PHI,NYG,3.5,35,14,U,0,54.5
LAR,LAC,1.5,31,36,O,1,56.5
GB,PIT,3,41,20,O,1,56.5
MIA,BUF,-5.5,16,10,U,0,51.5
NO,DET,9.5,37,20,U,0,57.5
KC,OAK,7.5,37,31,O,1,55.5
NYJ,CLE,-7.5,38,45,O,1,51.5
TEN,JAC,4.5,19,26,U,0,51.5
SF,ARI,8.5,27,16,U,0,51.5
LAC,OAK,3.5,29,21,U,0,54.5
PIT,KC,-4.5,48,20,O,1,55.5
DAL,NYG,6.5,51,10,O,1,55.5
WAS,DEN,-3.5,13,31,U,0,54.5
CIN,MIA,3.5,30,33,O,1,51.5
DAL,PHI,4.5,16,19,U,0,54.5
DET,MIN,-3,17,37,O,1,51.5
IND,LAC,-1.5,24,30,O,1,51.5
NO,LAR,3.5,16,20,U,0,56.5
NE,KC,3.5,45,38,O,1,55.5
SEA,SF,-1.5,32,31,O,1,51.5
CAR,ATL,-1.5,31,27,O,1,54
HOU,TEN,1.5,1034,,U,0,50.5
TB,JAC,3,27,30,O,1,50.5
GB,MIN,5.5,13,28,U,0,52.5
NE,BAL,-1.5,34,41,O,1,55.5
SF,DAL,-3,17,27,U,0,50.5
WAS,NYG,-3,41,27,O,1,47
NYJ,BUF,-7,32,31,O,1,47.5
DEN,OAK,-1.5,36,24,O,1,50
PHI,DAL,-4,29,28,O,1,54
CHI,GB,-1,21,31,O,1,47
ATL,NO,-3,40,34,O,1,58
PIT,BAL,-3,24,30,O,1,50
LAR,SEA,3,23,26,U,0,54
